Year, Month, day, hour, solar
2014,1,1,0,100.0
2014,1,1,1,100.0
2014,1,1,2,100.0
2014,1,1,3,100.0
2014,1,1,4,1100.0
2014,1,1,5,2100.0
2014,1,1,6,3100.0
2014,1,1,7,6100.0
2014,1,1,8,10100.0
2014,1,1,9,13100.0
2014,1,1,10,15100.0
2014,1,1,11,20100.0
2014,1,1,12,18100.0
2014,1,1,13,15100.0
2014,1,1,14,12100.0
2014,1,1,15,10100.0
2014,1,1,16,8100.0
2014,1,1,17,6100.0
2014,1,1,18,4100.0
2014,1,1,19,2100.0
2014,1,1,20,100.0
2014,1,1,21,100.0
2014,1,1,22,100.0
2014,1,1,23,100.0
2014,1,2,0,100.0
2014,1,2,1,100.0
2014,1,2,2,100.0
2014,1,2,3,100.0
2014,1,2,4,1100.0
2014,1,2,5,2100.0
2014,1,2,6,3100.0
2014,1,2,7,6100.0
2014,1,2,8,10100.0
2014,1,2,9,13100.0
2014,1,2,10,15100.0
2014,1,2,11,20100.0
2014,1,2,12,18100.0
2014,1,2,13,15100.0
2014,1,2,14,12100.0
2014,1,2,15,10100.0
2014,1,2,16,8100.0
2014,1,2,17,6100.0
2014,1,2,18,4100.0
2014,1,2,19,2100.0
2014,1,2,20,100.0
2014,1,2,21,100.0
2014,1,2,22,100.0
2014,1,2,23,100.0
2014,1,3,0,100.0
2014,1,3,1,100.0
2014,1,3,2,100.0
2014,1,3,3,100.0
2014,1,3,4,1100.0
2014,1,3,5,2100.0
2014,1,3,6,3100.0
2014,1,3,7,6100.0
2014,1,3,8,10100.0
2014,1,3,9,13100.0
2014,1,3,10,15100.0
2014,1,3,11,20100.0
2014,1,3,12,18100.0
2014,1,3,13,15100.0
2014,1,3,14,12100.0
2014,1,3,15,10100.0
2014,1,3,16,8100.0
2014,1,3,17,6100.0
2014,1,3,18,4100.0
2014,1,3,19,2100.0
2014,1,3,20,100.0
2014,1,3,21,100.0
2014,1,3,22,100.0
2014,1,3,23,100.0
2014,1,4,0,100.0
2014,1,4,1,100.0
2014,1,4,2,100.0
2014,1,4,3,100.0
2014,1,4,4,1100.0
2014,1,4,5,2100.0
2014,1,4,6,3100.0
2014,1,4,7,6100.0
2014,1,4,8,10100.0
2014,1,4,9,13100.0
2014,1,4,10,15100.0
2014,1,4,11,20100.0
2014,1,4,12,18100.0
2014,1,4,13,15100.0
2014,1,4,14,12100.0
2014,1,4,15,10100.0
2014,1,4,16,8100.0
2014,1,4,17,6100.0
2014,1,4,18,4100.0
2014,1,4,19,2100.0
2014,1,4,20,100.0
2014,1,4,21,100.0
2014,1,4,22,100.0
